Formula_dcg,Na,Cr,Se,Fe,P,O,Cu,Sb,W,V,C,Mn,Ni,H,S,Mo,Co,Si,As,Re
NaCrSe2,Na,Cr,Se,,,,,,,,,,,,,,,,,
NaFe(PO3)3,Na,,,Fe,P,O,,,,,,,,,,,,,,
Na2Cu(PO3)4,Na,,,,P,O,Cu,,,,,,,,,,,,,
NaSbWO7,Na,,,,,O,,Sb,W,,,,,,,,,,,
Na6V2P(CO4)4,Na,,,,P,O,,,,V,C,,,,,,,,,
NaV5O10,Na,,,,,O,,,,V,,,,,,,,,,
Na5Mn2P2(CO7)2,Na,,,,P,O,,,,,C,Mn,,,,,,,,
Na2NiH12(SO7)2,Na,,,,,O,,,,,,,Ni,H,S,,,,,
NaMo2P3O13,Na,,,,P,O,,,,,,,,,,Mo,,,,
Na2MnPCO7,Na,,,,P,O,,,,,C,Mn,,,,,,,,
NaP4(W3O11)4,Na,,,,P,O,,,W,,,,,,,,,,,
NaCr2O4,Na,Cr,,,,O,,,,,,,,,,,,,,
Na5MnO4,Na,,,,,O,,,,,,Mn,,,,,,,,
Na6CuO4,Na,,,,,O,Cu,,,,,,,,,,,,,
NaCoPO4,Na,,,,P,O,,,,,,,,,,,Co,,,
NaV(SiO3)2,Na,,,,,O,,,,V,,,,,,,,Si,,
NaMnAsO4,Na,,,,,O,,,,,,Mn,,,,,,,As,
NaMnPO4,Na,,,,P,O,,,,,,Mn,,,,,,,,
NaReO3,Na,,,,,O,,,,,,,,,,,,,,Re
Na2CoP2O7,Na,,,,P,O,,,,,,,,,,,Co,,,
NaCr3O8,Na,Cr,,,,O,,,,,,,,,,,,,,
