Formula_dcg,Na,Cr,Se,Fe,P,O,Cu,Sb,W,V,C,Mn,Ni,H,S,Mo,Co,Si,As,Re,Ti,Nb,Te,F,Ge,B,N,Sc,Sn,Nd,Ag,Hf,Cl,Pr,Ta
NaMn7O12,Na,,,,,1314.0,,,,,,717.4,,,,,,,,,,,,,,,,,,,,,,,
Na2Ti3Fe(PO4)6,Na,,,759.4,1012.0,1314.0,,,,,,,,,,,,,,,658.0,,,,,,,,,,,,,,
Na2(NbSe2)3,Na,,941.0,,,,,,,,,,,,,,,,,,,664.0,,,,,,,,,,,,,
Na2V3O7,Na,,,,,1314.0,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
Na3FePCO7,Na,,,759.4,1012.0,1314.0,,,,,1086.0,,,,,,,,,,,,,,,,,,,,,,,,
Na9Mn15O32,Na,,,,,1314.0,,,,,,717.4,,,,,,,,,,,,,,,,,,,,,,,
Na7Cu7O13,Na,,,,,1314.0,745.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na2Mn(PO3)5,Na,,,,1012.0,1314.0,,,,,,717.4,,,,,,,,,,,,,,,,,,,,,,,
Na3VPCO7,Na,,,,1012.0,1314.0,,,,650.0,1086.0,,,,,,,,,,,,,,,,,,,,,,,,
NaCoPO4,Na,,,,1012.0,1314.0,,,,,,,,,,,758.0,,,,,,,,,,,,,,,,,,
Na(Mo3Se4)2,Na,,941.0,,,,,,,,,,,,,685.0,,,,,,,,,,,,,,,,,,,
nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaVF3,Na,,,,,,,,,650.0,,,,,,,,,,,,,,1681.0,,,,,,,,,,,
Na3Cr2(PO4)3,Na,652.9,,,1012.0,1314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na3V5O10,Na,,,,,1314.0,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
Na3V5O10,Na,,,,,1314.0,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
NaNbWO7,Na,,,,,1314.0,,,770.0,,,,,,,,,,,,,664.0,,,,,,,,,,,,,
nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na2MnH4(SO5)2,Na,,,,,1314.0,,,,,,717.4,,H,999.6,,,,,,,,,,,,,,,,,,,,
NaNi5O6,Na,,,,,1314.0,,,,,,,736.7,,,,,,,,,,,,,,,,,,,,,,
NaVPO5,Na,,,,1012.0,1314.0,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
Na3Re,Na,,,,,,,,,,,,,,,,,,,760.0,,,,,,,,,,,,,,,
NaCr(SiO3)2,Na,652.9,,,,1314.0,,,,,,,,,,,,786.5,,,,,,,,,,,,,,,,,
NaMoO2,Na,,,,,1314.0,,,,,,,,,,685.0,,,,,,,,,,,,,,,,,,,
NaCuO2,Na,,,,,1314.0,745.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaCuO2,Na,,,,,1314.0,745.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaTi3P3O13,Na,,,,1012.0,1314.0,,,,,,,,,,,,,,,658.0,,,,,,,,,,,,,,
NaMn2O4,Na,,,,,1314.0,,,,,,717.4,,,,,,,,,,,,,,,,,,,,,,,
Na3Fe3(PO4)4,Na,,,759.4,1012.0,1314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaVP2O7,Na,,,,1012.0,1314.0,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
NaFe7(PO4)6,Na,,,759.4,1012.0,1314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaTiP2O7,Na,,,,1012.0,1314.0,,,,,,,,,,,,,,,658.0,,,,,,,,,,,,,,
Na6Fe2C4SO16,Na,,,759.4,,1314.0,,,,,1086.0,,,,999.6,,,,,,,,,,,,,,,,,,,,
Na(Ti3Se4)2,Na,,941.0,,,,,,,,,,,,,,,,,,658.0,,,,,,,,,,,,,,
